segment_id,filename,image_panoid,date,query_counter,lat,lon,geometry,years_since_today,name,length,bearing
4599846705-4599846707,img_4599846705-4599846707_h0_030.png,vT7OrXXwVNnuOrQDslsBww,2023-05-01,74.0,40.440836331859,-79.99590660912925,POINT (409480.6252176304 125394.35919588551),0.89,Grant Street,173.75199999999998,207.1
104572642-105938052,img_104572642-105938052_h1_009.png,CknsGj4SMifUbz2jENHh4A,2023-05-01,23.0,40.44090069791405,-79.99586710277241,POINT (409484.15754436963 125401.41877409123),0.89,Grant Street,81.104,26.8
104572642-105938052,img_104572642-105938052_h0_008.png,CknsGj4SMifUbz2jENHh4A,2023-05-01,22.0,40.44090069791405,-79.99586710277241,POINT (409484.15754436963 125401.41877409123),0.89,Grant Street,81.104,26.8
4599846705-4599846707,img_4599846705-4599846707_h1_021.png,CknsGj4SMifUbz2jENHh4A,2023-05-01,47.0,40.44090069791405,-79.99586710277241,POINT (409484.15754436963 125401.41877409123),0.89,Grant Street,173.75199999999998,207.1
4599846705-4599846707,img_4599846705-4599846707_h0_020.png,CknsGj4SMifUbz2jENHh4A,2023-05-01,46.0,40.44090069791405,-79.99586710277241,POINT (409484.15754436963 125401.41877409123),0.89,Grant Street,173.75199999999998,207.1
104572642-106056474,img_104572642-106056474_h1_005.png,DbuJNK-goQC3XExDnAwZ8g,2023-05-01,15.0,40.44061120771447,-79.99546649194167,POINT (409517.3166035176 125368.42040363983),0.89,Grant Street,173.656,27.2
4599846705-4599846707,img_4599846705-4599846707_h0_024.png,DbuJNK-goQC3XExDnAwZ8g,2023-05-01,58.0,40.44061120771447,-79.99546649194167,POINT (409517.3166035176 125368.42040363983),0.89,Grant Street,173.75199999999998,207.1
104572642-106056474,img_104572642-106056474_h0_004.png,DbuJNK-goQC3XExDnAwZ8g,2023-05-01,14.0,40.44061120771447,-79.99546649194167,POINT (409517.3166035176 125368.42040363983),0.89,Grant Street,173.656,27.2
4599846705-4599846707,img_4599846705-4599846707_h1_025.png,DbuJNK-goQC3XExDnAwZ8g,2023-05-01,59.0,40.44061120771447,-79.99546649194167,POINT (409517.3166035176 125368.42040363983),0.89,Grant Street,173.75199999999998,207.1
4599846705-4599846707,img_4599846705-4599846707_h1_019.png,ZeEczpVsP6emKq2vpgVDfg,2023-05-01,43.0,40.44169110106569,-79.99533833021718,POINT (409531.23461744195 125488.01509256389),0.89,Grant Street,173.75199999999998,207.1
